,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
360,Hoshangabad,22.6001502,77.92664521413192,67,2850,45,2738
361,Indore,22.7203616,75.8681996,3340,33459,679,29440
362,Jabalpur,23.1608938,79.9497702,751,12589,198,11640
363,Jhabua,22.88585225,74.72513368804519,96,1688,15,1577
364,Katni,23.8339621,80.392456,26,1730,15,1689
365,Khandwa,21.9778642,76.5688282326971,59,1777,48,1670
366,Khargone,21.8187743,75.6064577,117,3820,60,3643
367,Mandla,22.68536625,80.58150561711888,52,998,9,937
368,Mandsaur,24.2651306,75.38718193725012,98,2015,22,1895
369,Morena,26.166667,77.5,37,2753,23,2693
370,Narsinghpur,22.9467047,79.1980228,67,3009,27,2915
371,Neemuch,24.63044655,75.18339614635457,107,2362,35,2220
372,Niwari,25.312470400000002,78.66785016924982,16,419,1,402
373,Panna,24.5,80.25,28,806,3,775
374,Raisen,23.25,78.083333,145,1722,32,1545
375,Rajgarh,23.87167135,76.7748902040889,118,1628,35,1475
376,Ratlam,23.501957750000003,74.95284518680097,183,2437,53,2201
377,Rewa,24.75926685,81.65500021078341,242,2436,29,2165
378,Sagar,23.80961225,78.75911360578634,378,3382,121,2883
379,Satna,24.5,81.0,74,2189,37,2078
380,Sehore,23.1156882,77.06623939176504,103,2081,48,1930
381,Seoni,22.275878900000002,79.721044651047,61,1238,8,1169
382,Shahdol,23.6522784,81.4302644405692,104,2567,27,2436
383,Shajapur,23.37074105,76.62051527475785,87,1219,20,1112
384,Sheopur,25.6656611,76.6954843,68,1039,10,961
385,Shivpuri,25.37524125,77.82811932629714,100,2737,24,2613
386,Sidhi,24.25,82.0,154,1322,10,1158
387,Singrauli,24.1974432,82.6661453,125,1319,25,1169
388,Tikamgarh,24.85450275,79.04698123882801,23,972,26,923
389,Ujjain,23.174597,75.7851423,170,3493,97,3226
390,Umaria,23.64319305,80.94239522009255,61,911,12,838
391,Vidisha,23.916667,78.0,113,2087,46,1928
392,Aizawl,23.7414092,92.7209297,215,1641,0,1426
393,Champhai,23.69082385,93.34839119913778,2,26,0,24
394,Hnahthial,22.9663656,93.01026448504744,8,13,0,5
395,Khawzawl,23.53892045,93.1586839061471,2,6,0,4
396,Kolasib,24.18947525,92.7133181281124,14,252,0,238
397,Lawngtlai,22.34596495,92.8119536068969,9,91,0,82
398,Lunglei,22.898553,92.75192291719874,11,278,0,267
399,Mamit,23.75590845,92.45173568830637,2,55,0,53
400,Saiha,22.4995518,92.97798988717027,0,31,0,31
401,Saitual,23.6929995,92.965428,0,14,0,14
402,Serchhip,23.385892300000002,92.930598908176,21,86,0,65
404,Dimapur,25.9135914,93.7283707,1348,4676,21,3257
